row_num,owner_link,owner_link2,nft_id,value
1,<a href=https://debank.com/profile/0xef68065e0ee8e3e4c238b8c6f1bf23fa37df6e0a target=_blank>👤 0xef...6e0a</a>,<a href=https://arbiscan.io/address/0xef68065e0ee8e3e4c238b8c6f1bf23fa37df6e0a target=_blank>👤 0xef...6e0a</a>,6951,1215000
2,<a href=https://debank.com/profile/0x167d87a906da361a10061fe42bbe89451c2ee584 target=_blank>👤 0x16...e584</a>,<a href=https://arbiscan.io/address/0x167d87a906da361a10061fe42bbe89451c2ee584 target=_blank>👤 0x16...e584</a>,"6090, 5406, 1454",886134
3,<a href=https://debank.com/profile/0xd062ab63bb4f7af7e59b85defc3c90bfa9b81e6e target=_blank>👤 0xd0...1e6e</a>,<a href=https://arbiscan.io/address/0xd062ab63bb4f7af7e59b85defc3c90bfa9b81e6e target=_blank>👤 0xd0...1e6e</a>,3854,519466
4,<a href=https://debank.com/profile/0x39347d78ea7ea0961768a4024480777abd6d609e target=_blank>👤 0x39...609e</a>,<a href=https://arbiscan.io/address/0x39347d78ea7ea0961768a4024480777abd6d609e target=_blank>👤 0x39...609e</a>,"9196, 5954",428653
5,<a href=https://debank.com/profile/0xff2ad84b31f046decc8a4f627c7cf81fe61ff54b target=_blank>👤 0xff...f54b</a>,<a href=https://arbiscan.io/address/0xff2ad84b31f046decc8a4f627c7cf81fe61ff54b target=_blank>👤 0xff...f54b</a>,"7199, 9472",425696
6,<a href=https://debank.com/profile/0x83b285e802d76055169b1c5e3bf21702b85b89cb target=_blank>👤 0x83...89cb</a>,<a href=https://arbiscan.io/address/0x83b285e802d76055169b1c5e3bf21702b85b89cb target=_blank>👤 0x83...89cb</a>,"5399, 8390, 9474",410196
7,<a href=https://debank.com/profile/0xd204e3dc1937d3a30fc6f20abc48ac5506c94d1e target=_blank>👤 0xd2...4d1e</a>,<a href=https://arbiscan.io/address/0xd204e3dc1937d3a30fc6f20abc48ac5506c94d1e target=_blank>👤 0xd2...4d1e</a>,5390,311843
8,<a href=https://debank.com/profile/0x4bf7a0c21660879fdd051f5ee92cd2936779ec57 target=_blank>👤 0x4b...ec57</a>,<a href=https://arbiscan.io/address/0x4bf7a0c21660879fdd051f5ee92cd2936779ec57 target=_blank>👤 0x4b...ec57</a>,"6611, 8398",305530
9,<a href=https://debank.com/profile/0xac9f53d2a8366071486d8989126e82dfdf10ec81 target=_blank>👤 0xac...ec81</a>,<a href=https://arbiscan.io/address/0xac9f53d2a8366071486d8989126e82dfdf10ec81 target=_blank>👤 0xac...ec81</a>,5798,300933
10,<a href=https://debank.com/profile/0xd929ff540680f067b6724a9f93ef686cfac5b502 target=_blank>👤 0xd9...b502</a>,<a href=https://arbiscan.io/address/0xd929ff540680f067b6724a9f93ef686cfac5b502 target=_blank>👤 0xd9...b502</a>,"5396, 9463, 9003, 8634, 8399",286749
