row_num,owner_link,owner_link2,nft_id,value
1,<a href=https://debank.com/profile/0xcafc58de1e6a071790efbb6b83b35397023e1544 target=_blank>👤 0xca...1544</a>,<a href=https://arbiscan.io/address/0xcafc58de1e6a071790efbb6b83b35397023e1544 target=_blank>👤 0xca...1544</a>,11,6383506
2,<a href=https://debank.com/profile/0xcba1a275e2d858ecffaf7a87f606f74b719a8a93 target=_blank>👤 0xcb...8a93</a>,<a href=https://arbiscan.io/address/0xcba1a275e2d858ecffaf7a87f606f74b719a8a93 target=_blank>👤 0xcb...8a93</a>,"219, 2367",5847078
3,<a href=https://debank.com/profile/0x07dcc966db0ed3b4461db91eab4b8f89c4493fea target=_blank>👤 0x07...3fea</a>,<a href=https://arbiscan.io/address/0x07dcc966db0ed3b4461db91eab4b8f89c4493fea target=_blank>👤 0x07...3fea</a>,322,5434156
4,<a href=https://debank.com/profile/0x06917efce692cad37a77a50b9beef6f4cdd36422 target=_blank>👤 0x06...6422</a>,<a href=https://arbiscan.io/address/0x06917efce692cad37a77a50b9beef6f4cdd36422 target=_blank>👤 0x06...6422</a>,"6, 1917",4288691
5,<a href=https://debank.com/profile/0x473d3a2005499301dc353afa9d0c9c5980b5188c target=_blank>👤 0x47...188c</a>,<a href=https://arbiscan.io/address/0x473d3a2005499301dc353afa9d0c9c5980b5188c target=_blank>👤 0x47...188c</a>,10,3488738
6,<a href=https://debank.com/profile/0xd204e3dc1937d3a30fc6f20abc48ac5506c94d1e target=_blank>👤 0xd2...4d1e</a>,<a href=https://arbiscan.io/address/0xd204e3dc1937d3a30fc6f20abc48ac5506c94d1e target=_blank>👤 0xd2...4d1e</a>,5,3473674
7,<a href=https://debank.com/profile/0x59a6d1342f09ff5ac3c3b74039e5b152ddd8153a target=_blank>👤 0x59...153a</a>,<a href=https://arbiscan.io/address/0x59a6d1342f09ff5ac3c3b74039e5b152ddd8153a target=_blank>👤 0x59...153a</a>,687,3228093
8,<a href=https://debank.com/profile/0xc56de2702b3c8c41efec418a94eed42de2470724 target=_blank>👤 0xc5...0724</a>,<a href=https://arbiscan.io/address/0xc56de2702b3c8c41efec418a94eed42de2470724 target=_blank>👤 0xc5...0724</a>,18,3044458
9,<a href=https://debank.com/profile/0xb3bfb32977cfd6200ab9537e3703e501d8381c9b target=_blank>👤 0xb3...1c9b</a>,<a href=https://arbiscan.io/address/0xb3bfb32977cfd6200ab9537e3703e501d8381c9b target=_blank>👤 0xb3...1c9b</a>,272,3000002
10,<a href=https://debank.com/profile/0x4bf7a0c21660879fdd051f5ee92cd2936779ec57 target=_blank>👤 0x4b...ec57</a>,<a href=https://arbiscan.io/address/0x4bf7a0c21660879fdd051f5ee92cd2936779ec57 target=_blank>👤 0x4b...ec57</a>,15,2880228
