row_num,owner_link,owner_link2,nft_id,value
1,<a href=https://debank.com/profile/0x18102a1c71c362f67109c767760459fa12740eb1 target=_blank>👤 0x18...0eb1</a>,<a href=https://bscscan.com/address/0x18102a1c71c362f67109c767760459fa12740eb1 target=_blank>👤 0x18...0eb1</a>,24,2356588
2,<a href=https://debank.com/profile/0x85563f56786a4b1ba0e58a12e0c370d3540ab651 target=_blank>👤 0x85...b651</a>,<a href=https://bscscan.com/address/0x85563f56786a4b1ba0e58a12e0c370d3540ab651 target=_blank>👤 0x85...b651</a>,17,1692474
3,<a href=https://debank.com/profile/0x0d3de686027719c3e5e00a955ccdfc4b0321da91 target=_blank>👤 0x0d...da91</a>,<a href=https://bscscan.com/address/0x0d3de686027719c3e5e00a955ccdfc4b0321da91 target=_blank>👤 0x0d...da91</a>,"18, 3075",1617433
4,<a href=https://debank.com/profile/0x34922627b7244d47729f03b33eb45d8d263d116b target=_blank>👤 0x34...116b</a>,<a href=https://bscscan.com/address/0x34922627b7244d47729f03b33eb45d8d263d116b target=_blank>👤 0x34...116b</a>,"27, 5600",1346564
5,<a href=https://debank.com/profile/0x83b285e802d76055169b1c5e3bf21702b85b89cb target=_blank>👤 0x83...89cb</a>,<a href=https://bscscan.com/address/0x83b285e802d76055169b1c5e3bf21702b85b89cb target=_blank>👤 0x83...89cb</a>,8,1255664
6,<a href=https://debank.com/profile/0x98d1d755807c8e98824f003c402ab40c1a7e1847 target=_blank>👤 0x98...1847</a>,<a href=https://bscscan.com/address/0x98d1d755807c8e98824f003c402ab40c1a7e1847 target=_blank>👤 0x98...1847</a>,"1774, 4903, 1772, 2462, 2463",1034771
7,<a href=https://debank.com/profile/0x94dc0b13e66aba9450b3cc44c2643bbb4c264bc7 target=_blank>👤 0x94...4bc7</a>,<a href=https://bscscan.com/address/0x94dc0b13e66aba9450b3cc44c2643bbb4c264bc7 target=_blank>👤 0x94...4bc7</a>,"7426, 7460, 7780, 9110, 9558",999671
8,<a href=https://debank.com/profile/0x108bfb59a0d58ae6c1144cf6cb3e64eb6d62d94d target=_blank>👤 0x10...d94d</a>,<a href=https://bscscan.com/address/0x108bfb59a0d58ae6c1144cf6cb3e64eb6d62d94d target=_blank>👤 0x10...d94d</a>,23,964349
9,<a href=https://debank.com/profile/0x1670de538e08b0d080e4d1e2d84bb74eba60c2f2 target=_blank>👤 0x16...c2f2</a>,<a href=https://bscscan.com/address/0x1670de538e08b0d080e4d1e2d84bb74eba60c2f2 target=_blank>👤 0x16...c2f2</a>,20,962114
10,<a href=https://debank.com/profile/0xed30f2f067cecf159318644c00ef62b476cbfb6f target=_blank>👤 0xed...fb6f</a>,<a href=https://bscscan.com/address/0xed30f2f067cecf159318644c00ef62b476cbfb6f target=_blank>👤 0xed...fb6f</a>,22,950854
11,<a href=https://debank.com/profile/0xa81ba9b0ee9c26f6490f5d00de83203a4502c74d target=_blank>👤 0xa8...c74d</a>,<a href=https://bscscan.com/address/0xa81ba9b0ee9c26f6490f5d00de83203a4502c74d target=_blank>👤 0xa8...c74d</a>,21,935210
12,<a href=https://debank.com/profile/0x62c6ede90b1d4ce89bcd0224dd92dc80c983836e target=_blank>👤 0x62...836e</a>,<a href=https://bscscan.com/address/0x62c6ede90b1d4ce89bcd0224dd92dc80c983836e target=_blank>👤 0x62...836e</a>,568,908123
13,<a href=https://debank.com/profile/0x0f40a22e8c2ae737f12007cb88e8ef0ff3109483 target=_blank>👤 0x0f...9483</a>,<a href=https://bscscan.com/address/0x0f40a22e8c2ae737f12007cb88e8ef0ff3109483 target=_blank>👤 0x0f...9483</a>,"9130, 9585",878686
14,<a href=https://debank.com/profile/0xacb0b7e6f3015c8b5ea4ca101501cdf1216a1f5d target=_blank>👤 0xac...1f5d</a>,<a href=https://bscscan.com/address/0xacb0b7e6f3015c8b5ea4ca101501cdf1216a1f5d target=_blank>👤 0xac...1f5d</a>,19,832505
15,<a href=https://debank.com/profile/0x167d87a906da361a10061fe42bbe89451c2ee584 target=_blank>👤 0x16...e584</a>,<a href=https://bscscan.com/address/0x167d87a906da361a10061fe42bbe89451c2ee584 target=_blank>👤 0x16...e584</a>,2714,820784
16,<a href=https://debank.com/profile/0x666f5e76138042dc328cb3b44879cb127f36b122 target=_blank>👤 0x66...b122</a>,<a href=https://bscscan.com/address/0x666f5e76138042dc328cb3b44879cb127f36b122 target=_blank>👤 0x66...b122</a>,3,810793
17,<a href=https://debank.com/profile/0xac1d0b35d23a4451dbf5ab050e18ec5c464f95d9 target=_blank>👤 0xac...95d9</a>,<a href=https://bscscan.com/address/0xac1d0b35d23a4451dbf5ab050e18ec5c464f95d9 target=_blank>👤 0xac...95d9</a>,4,756208
18,<a href=https://debank.com/profile/0xd204e3dc1937d3a30fc6f20abc48ac5506c94d1e target=_blank>👤 0xd2...4d1e</a>,<a href=https://bscscan.com/address/0xd204e3dc1937d3a30fc6f20abc48ac5506c94d1e target=_blank>👤 0xd2...4d1e</a>,10,674868
19,<a href=https://debank.com/profile/0x6709dd8c24b44a8770a0c65b614a285d196ce145 target=_blank>👤 0x67...e145</a>,<a href=https://bscscan.com/address/0x6709dd8c24b44a8770a0c65b614a285d196ce145 target=_blank>👤 0x67...e145</a>,2,666482
20,<a href=https://debank.com/profile/0x12a79e67ed7f4fd0a0318d331941800898dab30d target=_blank>👤 0x12...b30d</a>,<a href=https://bscscan.com/address/0x12a79e67ed7f4fd0a0318d331941800898dab30d target=_blank>👤 0x12...b30d</a>,5,663422
21,<a href=https://debank.com/profile/0xd929ff540680f067b6724a9f93ef686cfac5b502 target=_blank>👤 0xd9...b502</a>,<a href=https://bscscan.com/address/0xd929ff540680f067b6724a9f93ef686cfac5b502 target=_blank>👤 0xd9...b502</a>,14,555924
22,<a href=https://debank.com/profile/0x80a8bbbf9a2fe462f3f50f49a4574f119c0ead3d target=_blank>👤 0x80...ad3d</a>,<a href=https://bscscan.com/address/0x80a8bbbf9a2fe462f3f50f49a4574f119c0ead3d target=_blank>👤 0x80...ad3d</a>,15,534391
23,<a href=https://debank.com/profile/0x8f8d2d2565bfb10608a7ce64b48e2aea7875a344 target=_blank>👤 0x8f...a344</a>,<a href=https://bscscan.com/address/0x8f8d2d2565bfb10608a7ce64b48e2aea7875a344 target=_blank>👤 0x8f...a344</a>,"4900, 5159, 652, 795, 772, 2313",532648
24,<a href=https://debank.com/profile/0x133d93566f9699b3af46fe150daa8a67a9563ed6 target=_blank>👤 0x13...3ed6</a>,<a href=https://bscscan.com/address/0x133d93566f9699b3af46fe150daa8a67a9563ed6 target=_blank>👤 0x13...3ed6</a>,8139,500148
