row_num,owner_link,owner_link2,nft_id,value
1,<a href=https://debank.com/profile/0x011b0a055e02425461a1ae95b30f483c4ff05be7 target=_blank>👤 0x01...5be7</a>,<a href=https://optimistic.etherscan.io/address/0x011b0a055e02425461a1ae95b30f483c4ff05be7 target=_blank>👤 0x01...5be7</a>,"11812, 11813, 11820, 25350",17544364
2,<a href=https://debank.com/profile/0x28aa4f9ffe21365473b64c161b566c3cdead0108 target=_blank>👤 0x28...0108</a>,<a href=https://optimistic.etherscan.io/address/0x28aa4f9ffe21365473b64c161b566c3cdead0108 target=_blank>👤 0x28...0108</a>,"1083, 13189",13686990
3,<a href=https://debank.com/profile/0x12478d1a60a910c9cbffb90648766a2bdd5918f5 target=_blank>👤 0x12...18f5</a>,<a href=https://optimistic.etherscan.io/address/0x12478d1a60a910c9cbffb90648766a2bdd5918f5 target=_blank>👤 0x12...18f5</a>,6719,9268156
4,<a href=https://debank.com/profile/0x574a782a00dd152d98ff85104f723575d870698e target=_blank>👤 0x57...698e</a>,<a href=https://optimistic.etherscan.io/address/0x574a782a00dd152d98ff85104f723575d870698e target=_blank>👤 0x57...698e</a>,"6851, 3081",8129141
5,<a href=https://debank.com/profile/0xd062ab63bb4f7af7e59b85defc3c90bfa9b81e6e target=_blank>👤 0xd0...1e6e</a>,<a href=https://optimistic.etherscan.io/address/0xd062ab63bb4f7af7e59b85defc3c90bfa9b81e6e target=_blank>👤 0xd0...1e6e</a>,12099,7981441
6,<a href=https://debank.com/profile/0x3fd5dbf9f74d69b71774d729dd84bd8b3db7e815 target=_blank>👤 0x3f...e815</a>,<a href=https://optimistic.etherscan.io/address/0x3fd5dbf9f74d69b71774d729dd84bd8b3db7e815 target=_blank>👤 0x3f...e815</a>,22492,7369258
7,<a href=https://debank.com/profile/0x0f228805c03a693aa964a791e0b2e2c6e6c6513f target=_blank>👤 0x0f...513f</a>,<a href=https://optimistic.etherscan.io/address/0x0f228805c03a693aa964a791e0b2e2c6e6c6513f target=_blank>👤 0x0f...513f</a>,"10620, 9497",7342968
8,<a href=https://debank.com/profile/0x1594b251df6b70ca9a01d4de0836ab4fd9811241 target=_blank>👤 0x15...1241</a>,<a href=https://optimistic.etherscan.io/address/0x1594b251df6b70ca9a01d4de0836ab4fd9811241 target=_blank>👤 0x15...1241</a>,"10698, 10825, 10688, 11599, 12330, 12602, 12082, 11329, 11304, 13047",6702737
9,<a href=https://debank.com/profile/0xf265702178a66b4b7ce079fc8a1629e47cf1bcde target=_blank>👤 0xf2...bcde</a>,<a href=https://optimistic.etherscan.io/address/0xf265702178a66b4b7ce079fc8a1629e47cf1bcde target=_blank>👤 0xf2...bcde</a>,"25000, 25001, 25002, 25003",6032362
10,<a href=https://debank.com/profile/0x08e18394086cb624b3d47430d115fafa01f4055e target=_blank>👤 0x08...055e</a>,<a href=https://optimistic.etherscan.io/address/0x08e18394086cb624b3d47430d115fafa01f4055e target=_blank>👤 0x08...055e</a>,"15498, 9893, 9887, 15918, 10330, 10792",5623896
